STOP_FRISK_ID,STOP_FRISK_TIME,MONTH2,DAY2,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME
10540,18:35:00,September,Friday,BURGLARY,10,N,Y,(null),(null),MALE,BLACK,QUEENS
10541,12:40:00,October,Thursday,CPW,5,N,Y,(null),19,MALE,BLACK,QUEENS
10542,4:20:00,October,Saturday,CRIMINAL MISCHIEF,5,N,Y,(null),30,MALE,BLACK,QUEENS
10543,16:20:00,October,Wednesday,CPW,5,N,Y,(null),34,MALE,BLACK,QUEENS
10544,16:00:00,October,Thursday,CPW,8,N,Y,(null),20,MALE,BLACK,QUEENS
10545,16:00:00,October,Thursday,CPW,8,N,Y,(null),20,MALE,BLACK,QUEENS
10546,16:00:00,October,Thursday,CPW,8,N,Y,(null),17,MALE,BLACK,QUEENS
10547,16:00:00,October,Thursday,CPW,8,N,Y,(null),17,MALE,BLACK,QUEENS
10548,14:50:00,October,Friday,ROBBERY,10,Y,Y,(null),17,MALE,BLACK,QUEENS
10549,14:50:00,October,Friday,ROBBERY,10,Y,Y,(null),16,MALE,BLACK,QUEENS
10550,14:50:00,October,Friday,ROBBERY,10,Y,Y,(null),16,MALE,BLACK,QUEENS
10551,14:50:00,October,Friday,ROBBERY,10,N,Y,(null),17,MALE,BLACK,QUEENS
10552,14:50:00,October,Friday,ROBBERY,10,N,Y,(null),16,MALE,BLACK,QUEENS
10553,3:40:00,October,Tuesday,ROBBERY,5,N,Y,(null),48,MALE,BLACK,QUEENS
10554,11:27:00,October,Wednesday,ASSAULT,20,N,N,(null),62,MALE,BLACK,QUEENS
10555,12:56:00,October,Thursday,CPW,1,Y,Y,(null),23,MALE,BLACK,QUEENS
10556,13:40:00,October,Friday,CPW,1,N,Y,(null),34,MALE,BLACK,QUEENS
10557,12:05:00,October,Saturday,ROBBERY,1,N,N,(null),(null),MALE,BLACK HISPANIC,QUEENS
10558,11:22:00,November,Tuesday,CPW,5,N,Y,(null),34,MALE,BLACK,QUEENS
10559,0:00:00,November,Tuesday,CPW,5,N,Y,(null),31,MALE,BLACK,QUEENS
10560,11:22:00,November,Tuesday,CPW,5,N,Y,(null),31,FEMALE,BLACK,QUEENS
10561,11:22:00,November,Tuesday,CPW,5,N,Y,(null),44,MALE,BLACK,QUEENS
10562,23:34:00,November,Monday,CPW,15,N,Y,(null),20,MALE,BLACK,QUEENS
10563,14:17:00,November,Tuesday,OTHER,15,N,Y,(null),21,MALE,BLACK,QUEENS
10564,14:17:00,November,Tuesday,BURGLARY,1,N,Y,(null),20,MALE,BLACK,QUEENS
10565,12:00:00,November,Saturday,CPW,15,N,Y,(null),48,MALE,ASIAN/PAC.ISL,QUEENS
10566,2:08:00,November,Saturday,CPW,3,N,Y,(null),40,MALE,BLACK,QUEENS
10567,2:05:00,November,Saturday,ASSAULT,20,N,Y,(null),23,MALE,BLACK,QUEENS
10568,2:05:00,November,Saturday,ASSAULT,20,N,Y,(null),28,FEMALE,BLACK,QUEENS
10569,2:05:00,November,Saturday,ASSAULT,20,N,Y,(null),24,MALE,BLACK,QUEENS
10570,14:30:00,November,Saturday,PETIT LARCENY,5,N,Y,(null),(null),MALE,BLACK,QUEENS
10571,14:30:00,November,Saturday,PETIT LARCENY,5,N,Y,(null),(null),MALE,BLACK,QUEENS
10572,1:25:00,November,Saturday,CPW,1,Y,Y,(null),35,MALE,BLACK,QUEENS
10573,2:25:00,November,Saturday,CPW,3,N,Y,(null),32,MALE,BLACK,QUEENS
10574,21:58:00,December,Saturday,BURGLARY,5,N,Y,(null),27,MALE,BLACK,QUEENS
10575,16:49:00,December,Sunday,GRAND LARCENY AUTO,25,N,Y,(null),67,MALE,BLACK,QUEENS
10576,0:25:00,November,Wednesday,CPW,3,N,Y,(null),(null),MALE,BLACK,QUEENS
10577,1:01:00,December,Friday,ASSAULT,2,N,N,(null),22,MALE,BLACK,QUEENS
10578,1:05:00,December,Saturday,ROBBERY,2,N,N,(null),45,MALE,BLACK,QUEENS
10579,23:05:00,December,Saturday,CPW,15,N,Y,(null),26,MALE,BLACK,QUEENS
10580,23:05:00,December,Saturday,CPW,15,N,Y,(null),26,MALE,BLACK,QUEENS
10581,22:50:00,December,Wednesday,MENACING,5,Y,N,(null),47,MALE,BLACK,QUEENS
10582,14:23:00,December,Friday,GRAND LARCENY AUTO,5,N,N,(null),21,MALE,BLACK,QUEENS
10583,10:11:00,December,Sunday,CPW,10,N,Y,(null),41,MALE,BLACK,QUEENS
10584,10:00:00,January,Monday,FELONY,20,Y,Y,(null),28,MALE,WHITE,QUEENS
10585,0:00:00,January,Monday,MISDEMEANOR,4,N,Y,(null),21,MALE,WHITE HISPANIC,BROOKLYN
10586,0:00:00,January,Monday,MISDEMEANOR,4,N,Y,(null),24,MALE,BLACK HISPANIC,QUEENS
10587,17:02:00,January,Tuesday,MISDEMEANOR,5,N,N,(null),13,MALE,BLACK,QUEENS
10588,2:37:00,January,Sunday,CPW,6,N,Y,(null),32,MALE,BLACK,QUEENS
10589,21:17:00,January,Tuesday,CRIMINAL POSSESSION OF MARIHUANA,14,Y,Y,(null),18,MALE,BLACK,QUEENS
10590,14:00:00,January,Sunday,ASSAULT,5,N,N,(null),42,MALE,BLACK,QUEENS
10591,1:54:00,January,Friday,CPW,12,Y,Y,(null),28,MALE,WHITE HISPANIC,QUEENS
